"_federal_accountability_status"	overall_grade	additional_credit	environment_grade	peer_index_	overall_score	principal	progress_category_score	dbn	_progress_report_grade	school	environment_category_score	performance_category_score	progress_grade	district	progress_report_type	performance_grade	_quality_review_score	school_level_	_school_support_organization
In Good Standing	A	9	B	3.71	67.4	Lenore Berner	30.7	15K051	B	M.S. 51 WILLIAM ALEXANDER	9.3	18.4	B	15	ESMS	A	Well Developed	Middle School	CLSO
In Good Standing	A	3	A	27.83	78.6	Giselle Gault	49.1	15K058	D	P.S. 058 THE CARROLL	10.9	15.6	A	15	ESMS	B	Proficient	Elementary School	CLSO
Restructuring - Year 4	B	3.75	B	3.10	64.3	Ailene Altman Mitchell	35.3	15K088	A	J.H.S. 088 PETER ROUGET	8.8	16.4	B	15	ESMS	B	Well Developed	Middle School	CLSO
In Need of Improvement - Year 1	A	8.25	B	51.63	75	Janette Caban	43.3	15K094	A	P.S. 094 THE HENRY LONGFELLOW	8.4	15	A	15	ESMS	B	Well Developed	Elementary School	CLSO
In Good Standing	A	0	A	21.16	63.7	Cynthia Holton	33.5	15K107	A	P.S. 107 JOHN W. KIMBALL	9.9	20.3	A	15	ESMS	A	Well Developed	Elementary School	ESO
In Good Standing	A	0	A	56.53	63.5	Annabelle Martinez	32.3	15K124	A	P.S. 124 SILAS B. DUTCHER	9.8	21.4	B	15	ESMS	A	Proficient	Elementary School	CLSO
In Good Standing	A	1.5	B	48.33	83.3	Maria Nunziata	52	15K130	B	P.S. 130 THE PARKSIDE	8.8	21	A	15	ESMS	A	Well Developed	Elementary School	CLSO
In Good Standing	A	8.25	A	55.40	80.8	Ruth Quiles	44.7	15K131	B	P.S. 131 BROOKLYN	11.2	16.6	A	15	ESMS	A	Well Developed	Elementary School	CLSO
Planning for Restructuring	B	2.25	B	2.79	53.9	Eric Sackler	28.2	15K136	B	I.S. 136 CHARLES O. DEWEY	8.9	14.5	B	15	ESMS	B	Proficient	Middle School	ESO
In Good Standing	A	1.5	A	30.77	63.6	Anna Allanbrook	31.4	15K146	C	P.S. 146	10.9	19.8	B	15	ESMS	A	Well Developed	Elementary School	ESO
In Good Standing	B	3	A	26.97	59	Samuel Ortiz	32.9	15K154	D	MAGNET SCHOOL FOR SCIENCE & TECHNOLOGY	9.6	13.5	A	15	ESMS	B	Proficient	Elementary School	ESO
In Need of Improvement - Year 1	B	3	A	53.69	49	Josephine Santiago	22.7	15K169	B	P.S. 169 SUNSET PARK	9.6	13.7	C	15	ESMS	B	Well Developed	Elementary School	CLSO
In Good Standing	A	3	A	63.18	83.1	Jack Spatola	40.1	15K172	A	P.S. 172 BEACON SCHOOL OF EXCELLENCE	15	25	A	15	ESMS	A	Outstanding	Elementary School	ESO
In Good Standing	B	0.75	A	36.26	46.3	Sharon Fiden	20	15K230	B	P.S. 230 DORIS L. COHEN	12.1	13.4	C	15	ESMS	B	Well Developed	Elementary School	ESO
In Good Standing	C	1.5	B	37.97	37.2	Zipporiah Mills	17.2	15K261	C	P.S. 261 PHILIP LIVINGSTON	7	11.5	C	15	ESMS	B	Proficient	Elementary School	CLSO
In Good Standing	A	3.75	A	49.44	72.8	Deanna Marco	43.8	15K295	A	P.S. 295	9.9	15.3	A	15	ESMS	B	Well Developed	Elementary School	ESO
In Good Standing	B	3	A	16.31	52.5	Elizabeth Phillips	22.4	15K321	B	P.S. 321 WILLIAM PENN	12	15.1	C	15	ESMS	B	Well Developed	Elementary School	ESO
In Need of Improvement - Year 1	C	1.5	C	3.04	40.8	Lisa Gibbs	21.2	15K429	C	BROOKLYN SCHOOL FOR GLOBAL STUDIES	5.2	12.9	C	15	ESMS	C	Well Developed	Middle School	ESO
In Need of Improvement - Year 1	B	3	B	2.09	53.7	Lisa Gibbs	31.9	15K429	C	BROOKLYN SCHOOL FOR GLOBAL STUDIES	5.7	13.1	B	15	HS	B	Well Developed	High School	ESO
In Good Standing	B	0	B	2.90	50	Mary Lou Aranyos	27.6	15K442	C	NEW HORIZONS SCHOOL	7.9	14.5	B	15	ESMS	B	Well Developed	Middle School	CLSO
In Good Standing	A	4.5	A	3.29	74.8	Frank Giordano	40.4	15K443	A	NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS	10	19.9	A	15	ESMS	A	Proficient	Middle School	CLSO
In Good Standing	A	7.5	B	3.53	68.7	Mrs. Lisa Gioe-Cordi	32.3	15K447	A	THE MATH & SCIENCE EXPLORATORY SCHOOL	7.7	21.2	B	15	ESMS	A	Well Developed	Middle School	CLSO
In Good Standing	A	6.75	B	3.14	70.2	Alyce Barr	37.5	15K448	A	BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE  STUDIES	9.8	16.1	A	15	ESMS	B	Well Developed	Middle School	ESO
""				2.10		Alyce Barr		15K448		BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE  STUDIES				15	HS			High School	ESO
In Good Standing		6															Well Developed		
In Need of Improvement - Year 1	B	2.25	C	2.84	61.1	Larry Woodbridge	36.1	15K462	C	SECONDARY SCHOOL FOR LAW	5.7	17	A	15	ESMS	B	Proficient	Middle School	ESO
In Need of Improvement - Year 1	D	1	C	2.69	33.5	Larry Woodbridge	22.6	15K462	C	SECONDARY SCHOOL FOR LAW	4	5.9	C	15	HS	F	Proficient	High School	ESO
In Need of Improvement - Year 1	A	4.5	B	2.86	74.9	Abbie Reif	44.7	15K463	A	SECONDARY SCHOOL FOR JOURNALISM	6.6	19.1	A	15	ESMS	A	Proficient	Middle School	CLSO
In Need of Improvement - Year 1	C	4	C	2.51	38.5	Abbie Reif	20.8	15K463	C	SECONDARY SCHOOL FOR JOURNALISM	4	9.7	C	15	HS	C	Proficient	High School	CLSO
In Need of Improvement - Year 1	B	0.75	B	2.97	57.2	Jill Bloomberg	31.8	15K464	B	SECONDARY SCHOOL FOR RESEARCH	8.5	16.1	B	15	ESMS	B	Well Developed	Middle School	CLSO
In Need of Improvement - Year 1	B	6	B	2.29	54	Jill Bloomberg	28.6	15K464	C	SECONDARY SCHOOL FOR RESEARCH	8.1	11.3	B	15	HS	B	Well Developed	High School	CLSO
In Good Standing	C	0.75	C	3.01	45.9	Fred Walsh	19.9	15K497	A	SCHOOL FOR INTERNATIONAL STUDIES	6.1	19.1	C	15	ESMS	A	Proficient	Middle School	CLSO
In Good Standing	B	7	B	2.23	61.3	Fred Walsh	35.6	15K497	B	SCHOOL FOR INTERNATIONAL STUDIES	6.4	12.3	A	15	HS	B	Proficient	High School	CLSO
In Need of Improvement - Year 2	B	3	B	1.96	49.3	Karen Watts	28.9	15K498	F	ACORN HIGH SCHOOL FOR SOCIAL JUSTICE	7	10.4	B	15	HS	B	Well Developed	High School	CLSO
In Need of Improvement - Year 2	C	1	B	1.82	43.4	Kenneth Cuthbert	26.2	15K519	D	COBBLE HILL SCHOOL OF AMERICAN STUDIES	6.9	9.3	B	15	HS	C	Proficient	High School	CLSO
In Good Standing	C	0	B	2.23	36.9	Michael Courtney	19.6	15K520	D	PACIFIC HIGH SCHOOL	7	10.3	C	15	HS	C	Proficient	Transfer School	ESO
In Good Standing	A	5	A	2.56	81.4	Liliana Polo	44.1	15K529		WEST BROOKLYN COMMUNITY HIGH SCHOOL	9.9	22.4	A	15	HS	A	Proficient	Transfer School	New Visions
Planning for Restructuring	C	2	B	2.15	39.1	Lennel George	21.1	15K530	C	METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL	5.9	10.1	C	15	HS	B	Underdeveloped with Proficient Features	High School	CLSO
""				3.01		Holly Anne Reichert		15K592		KHALIL GIBRAN INTERNATIONAL ACADEMY				15	ESMS			Middle School	New Visions
In Good Standing																			
In Good Standing	B	4	B	2.72	52.9	Robert Finley	31.1	15K656	C	BROOKLYN HIGH SCHOOL OF THE ARTS	7	10.8	B	15	HS	B	Proficient	High School	ESO
In Need of Improvement - Year 2	B	0	B	2.41	43.2	Vanda Belusic-Vollor	20.7	15K698	B	SOUTH BROOKLYN COMMUNITY HIGH SCHOOL	8.9	13.6	B	15	HS	B	Proficient	Transfer School	New Visions
In Good Standing	B	0.75	B	3.30	59.1	Lola Padin	33.4	15K821	A	SUNSET PARK PREP	6.8	18.1	B	15	ESMS	A	Well Developed	Middle School	CLSO
In Good Standing	A	6	C	58.60	71.7	Lena Gates	41.2	16K005	F	P.S. 005 DR. RONALD MCNAIR	5.3	19.2	A	16	ESMS	A	Well Developed	Elementary School	CLSO
In Good Standing	A	1.5	A	54.36	65.9	Harold Anderson	33.8	16K021	B	P.S. 021 CRISPUS ATTUCKS	10.7	19.9	A	16	ESMS	A	Well Developed	Elementary School	ESO
In Corrective Action	B	1.5	B	61.36	51.2	Ms. Carol Walcott	26.8	16K025	B	P.S. 025 EUBIE BLAKE SCHOOL	8.4	14.5	B	16	ESMS	B	Proficient	Elementary School	CLSO
In Good Standing	B	0.75	B	58.33	52.2	Michele Ashley	24.2	16K026	A	P.S. 026 JESSE OWENS	9.1	18.1	B	16	ESMS	A	Well Developed	Elementary School	CLSO
In Good Standing	B	0	A	58.37	54.8	Sadie Silver	31.3	16K028	F	P.S. 028 THE WARREN	11.2	12.3	B	16	ESMS	B	Proficient	Elementary School	CLSO
Restructuring - Year 1	A	3.75	A	2.80	72.1	Jacklyn Charles-Marcus	42.1	16K035	B	M.S. 035 STEPHEN DECATUR	10	16.2	A	16	ESMS	B	Proficient	Middle School	CLSO
In Good Standing	B	3	B	61.46	58	Leonie Hibbert	35.9	16K040	C	P.S. 040 GEORGE W. CARVER	7.1	12	A	16	ESMS	B	Well Developed	Elementary School	CLSO
Restructuring - Year 2	B	3.75	B	2.79	54.5	Celeste Douglas	26.6	16K057	C	J.H.S. 057 WHITELAW REID	9.6	14.5	B	16	ESMS	B	Well Developed	Middle School	CLSO
In Need of Improvement - Year 2	A	3	B	60.34	59.6	Cheryl Ault	32	16K081	A	P.S. 081 THADDEUS STEVENS	8.7	15.9	B	16	ESMS	A	Well Developed	Elementary School	ESO
""						Mr. Adofo Muhammad		16K143		M.S. 143 PERFORMING & FINE ARTS				16	ESMS			Middle School	CLSO
Restructuring - Year 1																			
In Need of Improvement - Year 1	A	6	B	65.02	77.4	Karen Hambright	48.8	16K243	B	P.S. 243 WEEKSVILLE	7.7	14.9	A	16	ESMS	B	Proficient	Elementary School	CLSO
In Good Standing	A	3	B	60.73	62.5	Joeletha Ferguson	27.8	16K262	A	P.S. 262 EL HAJJ MALIK EL SHABAZZ ELEMENTARY SCHOOL	8.7	23	B	16	ESMS	A	Well Developed	Elementary School	CLSO
In Corrective Action	A	9	F	2.82	67.4	Patricia King	36.6	16K267	F	M.S. 267 MATH SCIENCE & TECHNOLOGY	3.9	17.9	A	16	ESMS	A	Proficient	Middle School	CLSO
""						Laverne Robinson		16K304		P.S. 304 CASIMIR PULASKI				16	ESMS			Elementary School	CLSO
In Need of Improvement - Year 1									F										
In Need of Improvement - Year 1	B	1.5	B	58.14	53.6	Dr. Gail Bell-Baptiste	28.7	16K308	B	P.S. 308 CLARA CARDWELL	8	15.4	B	16	ESMS	B	Well Developed	K-8	CLSO
In Good Standing	B	1.5	C	57.82	48.4	Rebecca Fonville	29.1	16K309	D	P.S. 309 GEORGE E. WIBECAN	5.4	12.4	B	16	ESMS	B	Proficient	Elementary School	CLSO
""				2.33		Gary Beidleman		16K322		FOUNDATIONS ACADEMY				16	HS			High School	ESO
In Good Standing		0															Proficient		
In Good Standing	A	3	B	61.89	62	Laverne Nimmons	35.5	16K335	C	P.S. 335 GRANVILLE T. WOODS	8.6	14.9	A	16	ESMS	B	Well Developed	Elementary School	CLSO
In Good Standing	B	0	B	2.80	53.7	Glyn Marryshow	30.8	16K385	A	SCHOOL OF BUSINESS FINANCE AND ENTREPRENEURSHIP	7.3	15.6	B	16	ESMS	B	Proficient	Middle School	CLSO
In Good Standing	C	1.5	D	3.46	41.5	Marian Bowden	22.2	16K393	C	FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL	4.1	13.7	C	16	ESMS	C	Well Developed	Middle School	CLSO
""				2.43		Marian Bowden		16K393		FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL				16	HS			High School	CLSO
In Good Standing		6															Well Developed		
Requiring Academic Progress - Year 5	B	1	C	1.94	43.6	Spencer Holder	29.4	16K455	C	BOYS AND GIRLS HIGH SCHOOL	4.4	8.8	B	16	HS	C	Proficient	High School	CLSO
In Good Standing	C	0	C	2.69	48.4	William Cooper	28.1	16K534		UPPER SCHOOL @ P.S. 25	6.1	14.2	B	16	ESMS	B	Proficient	Middle School	CLSO
In Good Standing	B	4.5	B	2.90	56.3	Gilleyan J. Hargrove	28.1	16K584	B	M.S. 584	8.8	14.9	B	16	ESMS	B	Proficient	Middle School	CLSO
""				2.45		Alexander White		16K594		GOTHAM PROFESSIONAL ARTS ACADEMY				16	HS			High School	ESO
""		1																	
In Good Standing																			
In Corrective Action	A	6.75	B	2.78	69.5	Adrienne Spencer	35.6	17K002	B	M.S. 002	9.7	17.4	A	17	ESMS	B	Outstanding	Middle School	ICI
In Good Standing	A	6	A	61.48	67.5	Ellen Carlisle	32	17K006	B	P.S. 006	10.1	19.4	B	17	ESMS	A	Well Developed	Elementary School	ESO
Restructuring - Year 1	D	0	C	60.28	38.2	Nyree Dixon	24.2	17K012	D	P.S. 012	5.3	8.7	C	17	ESMS	D	Proficient	K-8	ICI
In Good Standing	B	3.75	C	64.11	56.4	Carlen Padmore	33.5	17K022	D	P.S. 022	4.8	14.3	A	17	ESMS	B	Proficient	Elementary School	ESO
Restructuring - Year 3	B	3.75	B	3.09	60.3	Rhonda Hurdle Taylor	31.4	17K061	B	M.S. 061 GLADSTONE H. ATWELL	8.9	16.2	B	17	ESMS	B	Well Developed	Middle School	ICI
In Good Standing	A	6	B	64.96	81	Mr. Solomon Long	44.8	17K091	B	P.S. 091 THE ALBANY AVENUE SCHOOL	8.5	21.7	A	17	ESMS	A	Well Developed	Elementary School	CLSO
In Good Standing	B	3.75	A	58.32	54.2	Ms. Diana Rahmaan	29	17K092	C	P.S. 092 ADRIAN HEGEMAN	9.2	12.2	B	17	ESMS	B	Well Developed	Elementary School	ESO
In Need of Improvement - Year 1	A	6	A	59.72	76.3	Ms. Marie Chauvet-Monchik	41.9	17K138	C	P.S. 138 BROOKLYN	10.7	17.7	A	17	ESMS	B	Proficient	K-8	ICI
In Good Standing	C	0.75	B	52.07	38.5	Ms. Deborah Barrett	11.9	17K161	B	P.S. 161 THE CROWN	8.8	17	D	17	ESMS	B	Well Developed	K-8	ESO
In Good Standing	B	0.75	B	63.17	46.8	Joan Palmer	27.8	17K167	D	P.S. 167 THE PARKWAY	7.5	10.7	B	17	ESMS	C	Proficient	Elementary School	KLSO
In Good Standing	B	4.5	C	57.57	60.2	Lowell Coleman	31.8	17K181	B	P.S. 181 BROOKLYN	6.8	17.1	B	17	ESMS	B	Well Developed	K-8	ICI
In Good Standing	A	12	A	59.24	98.5	Ms. Berthe G. Faustin	51.2	17K189	A	P.S. 189 LINCOLN TERRACE	11.9	23.4	A	17	ESMS	A	Well Developed	K-8	ESO
In Good Standing	B	3.75	C	64.62	52.2	Mrs. Elsi Capolongo	28	17K191	C	P.S. 191 PAUL ROBESON	6.1	14.3	B	17	ESMS	B	Well Developed	Elementary School	CLSO
In Good Standing	C	0	B	56.26	43.7	Clara Moodie-Kirkland	22.3	17K221	B	P.S. 221 TOSSAINT L'OUVERTURE	8.3	13.1	C	17	ESMS	B	Well Developed	Elementary School	CLSO
In Good Standing	A	2.25	A	61.61	77.6	Philip A. Dominique	46.7	17K241	B	P.S. 241 EMMA L. JOHNSTON	9.8	18.8	A	17	ESMS	A	Well Developed	Elementary School	ESO
Restructuring - Year 4	B	2.25	B	2.81	57.8	Bentley Warrington	33.1	17K246	C	M.S. 246 WALT WHITMAN	7.9	14.5	B	17	ESMS	B	Proficient	Middle School	ICI
In Good Standing	A	6	B	59.38	75	Mr. Dennis O. Jeffers	41.3	17K289	B	P.S. 289 GEORGE V. BROWER	8.1	19.6	A	17	ESMS	A	Proficient	Elementary School	ESO
Restructuring - Year 2	B	1.5	C	62.84	58.4	Tracey Collins	37.8	17K316	D	P.S. 316 ELIJAH STROUD	5.1	14	A	17	ESMS	B	Well Developed	Elementary School	ESO
In Good Standing	C	0	B	2.68	40.9	Kathleen Clarke-Glover	22	17K334	B	MIDDLE SCHOOL FOR ACADEMIC AND SOCIAL EXCELLENCE	6.8	12.1	C	17	ESMS	C	Underdeveloped with Proficient Features	Middle School	ESO
In Good Standing	F	0	B	3.63	28.2	Mrs. Jean Williams	9.6	17K340	D	I.S. 340	6.8	11.8	D	17	ESMS	D	Proficient	Middle School	ICI
In Need of Improvement - Year 1	B	9	C	2.73	62	Margie Baker	32.8	17K352	B	EBBETS FIELD MIDDLE SCHOOL	6.4	13.8	B	17	ESMS	B	Well Developed	Middle School	CLSO
In Good Standing	A	3.75	A	2.90	75.3	Claudette Essor	41.4	17K353	A	ELIJAH STROUD MIDDLE SCHOOL	11.8	18.3	A	17	ESMS	A	Well Developed	Middle School	ESO
In Good Standing	B	0.75	B	2.65	51.6	Monique Campbell	27.7	17K354	B	THE SCHOOL OF INTEGRATED LEARNING	8.1	15	B	17	ESMS	B	Proficient	Middle School	ESO
In Need of Improvement - Year 2	B	0.75	A	61.88	51.1	Ms. Marion Wilson	27.1	17K375	D	P.S. 375 JACKIE-ROBINSON SCHOOL	11.3	11.9	B	17	ESMS	B	Well Developed	Elementary School	CLSO
In Good Standing	A	1.5	B	3.16	76.3	Ditta Korbeogo	48.5	17K382		ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOAR	8.2	18.1	A	17	ESMS	A	Proficient	Middle School	ESO
""				2.46		Ditta Korbeogo		17K382		ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOAR				17	HS			High School	ESO
In Good Standing		0															Proficient		
In Good Standing	A	4.5	A	60.71	76.3	Ms. Claudette Murray	38.7	17K394	C	M.S. K394	11.9	21.2	A	17	ESMS	A	Well Developed	K-8	CLSO
In Good Standing	B	0.75	A	55.77	48.6	Nancy Colon	23.9	17K397	C	P.S. 397 FOSTER-LAURIE	10	13.9	B	17	ESMS	B	Proficient	Elementary School	Fordham
In Need of Improvement - Year 2	D	0	B	62.10	30.1	Diane Danay-Caban	15.3	17K398	B	P.S. 398 WALTER WEAVER	7.4	7.4	C	17	ESMS	D	Proficient	Elementary School	ICI
In Good Standing	A	1.5	A	59.44	78.6	Marion J. Brown	37.6	17K399	A	P.S. 399 STANLEY EUGENE CLARK	14.5	25	A	17	ESMS	A	Well Developed	Elementary School	ESO
""				2.34		Adam Breier		17K408		ACADEMY OF  HOSPITALITY AND TOURISM				17	HS			High School	New Visions
In Good Standing		0															Proficient		
In Good Standing	A	1.5	B	2.76	72.5	Herbert Daughtry	41.2	17K484		RONALD EDMONDS LEARNING CENTER II	9	20.8	A	17	ESMS	A	Proficient	Middle School	ESO
In Need of Improvement - Year 1	B	0	B	2.34	47.7	Catherine Hartnett	26	17K489	C	W.E.B. DUBOIS ACADEMIC HIGH SCHOOL	7.9	13.8	B	17	HS	B	Proficient	Transfer School	ESO
In Good Standing	A	8	A	2.18	73.5	Alexandra Anormaliza	39	17K524		INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS	13.3	13.2	A	17	HS	B	Well Developed	High School	ESO
In Good Standing	B	3	B	2.32	52.2	Brad Haggerty	25	17K528		HIGH SCHOOL FOR GLOBAL CITIZENSHIP, THE	8.8	15.4	B	17	HS	B	Proficient	High School	New Visions
In Good Standing	B	0.75	B	2.99	57.6	Michael Alexander	34.3	17K531	F	SCHOOL FOR HUMAN RIGHTS THE	9.1	13.4	B	17	ESMS	C	Proficient	Middle School	New Visions
In Good Standing	B	3	B	2.18	45.9	Michael Alexander	24.4	17K531		SCHOOL FOR HUMAN RIGHTS, THE	7.9	10.6	C	17	HS	B	Proficient	High School	New Visions
In Good Standing	C	0.75	C	3.06	47.5	Nancy Gannon	30.4	17K533	F	SCHOOL FOR DEMOCRACY AND  LEADERSHIP	6.2	10.1	B	17	ESMS	D	Proficient	Middle School	ESO
In Good Standing	A	4	C	2.25	68.1	Nancy Gannon	39	17K533		SCHOOL FOR DEMOCRACY AND  LEADERSHIP	4.9	20.2	A	17	HS	A	Proficient	High School	ESO
In Good Standing	B	1	B	2.06	48.6	Mary Prendergast	23.7	17K537		HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS	8.3	15.6	C	17	HS	B	Well Developed	High School	New Visions
In Good Standing	A	5	B	2.12	75.3	Leonard Kassan	43.4	17K539		HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS	8.9	18	A	17	HS	A	Well Developed	High School	ICI
In Good Standing	A	1.5	B	3.43	72	Henrietta Coursey	44.6	17K543		SCIENCE TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS	7.7	18.2	A	17	ESMS	A	Well Developed	Middle School	CUNY
In Good Standing	A	0	B	3.19	72.9	Henrietta Coursey	47.8	17K543	B	SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS	6.3	18.8	A	17	HS	A	Well Developed	High School	CUNY
In Good Standing	B	1	A	2.40	59.6	Leonard Treotola	28	17K544	B	INTERNATIONAL ARTS BUSINESS SCHOOL	10.5	20.1	B	17	HS	A	Well Developed	High School	New Visions
In Good Standing	A	4	A	2.89	72.5	Ben Shuldiner	43.6	17K546	B	HIGH SCHOOL FOR PUBLIC SERVICE: HEROES  OF TOMORROW	9.9	15	A	17	HS	B	Well Developed	High School	ESO
In Good Standing	B	1	C	2.48	50.1	Veronica Peterson	28.9	17K547	B	BROOKLYN ACADEMY OF SCIENCE AND THE  ENVIRONMENT	4.3	15.9	B	17	HS	B	Proficient	High School	New Visions
In Good Standing	A	5	A	2.44	75.1	Pamela Randazzo-Dorcely	38.4	17K548	B	BROOKLYN SCHOOL FOR MUSIC & THEATRE	9.7	22	A	17	HS	A	Proficient	High School	New Visions
In Good Standing	B	1.3	B	2.33	50.8	Joanne Nabors	26.8	17K568	B	BROWNSVILLE ACADEMY HIGH SCHOOL	9.2	13.5	B	17	HS	B	Well Developed	Transfer School	ESO
In Need of Improvement - Year 1	C	2.25	B	2.81	44.4	Susan Hobson-Ransom	23	17K587	C	MIDDLE SCHOOL FOR THE ARTS	7.7	11.4	C	17	ESMS	D	Underdeveloped with Proficient Features	Middle School	ICI
Requiring Academic Progress - Year 2	C	0	A	3.81	48.2	Dr. Michael A. Wiltshire	22.3	17K590	C	MEDGAR EVERS COLLEGE PREPARATORY SCHOOL	10.2	15.7	C	17	ESMS	B	Well Developed	Middle School	CUNY
Requiring Academic Progress - Year 2	B	2	B	3.17	59.9	Dr. Michael A. Wiltshire	36.1	17K590	B	MEDGAR EVERS COLLEGE PREPARATORY SCHOOL	8.8	13	A	17	HS	B	Well Developed	High School	CUNY
In Good Standing	B	3	B	2.51	47.2	Dr. Richard A. Forman	26.5	17K600	B	CLARA BARTON HIGH SCHOOL	5.6	12.1	B	17	HS	B	Proficient	High School	ICI
In Corrective Action	C	0	F	2.03	36.6	Mr. Ira C. Weston	23.1	17K625	C	PAUL ROBESON HIGH SCHOOL	2.6	10.9	C	17	HS	B	Well Developed	High School	CLSO
In Good Standing	D	0.75	B	49.80	36.2	Joel Rubenfeld	16.6	18K066	A	P.S. 66	8.2	10.6	D	18	ESMS	C	Well Developed	K-8	ESO
Restructuring - Year 3	B	2.25	C	2.94	54.9	Alex Fralin	30.2	18K068	C	I.S. 068 ISAAC BILDERSEE	6.5	15.9	B	18	ESMS	B	Proficient	Middle School	ICI
In Good Standing	B	0	F	52.45	46.6	Maria Pena-Herrara	30.6	18K114	D	P.S. 114 RYDER ELEMENTARY	2.3	13.7	B	18	ESMS	B	Underdeveloped with Proficient Features	Elementary School	ICI
In Good Standing	A	6	A	52.21	71.7	Mitchell Pinsky	34.6	18K115	A	P.S. 115 DANIEL MUCATEL SCHOOL	13	18.1	A	18	ESMS	A	Well Developed	Elementary School	ESO
In Good Standing	A	1.5	A	55.63	66.6	Ms. Penny Grinage	36.4	18K135	C	P.S. 135 SHELDON A. BROOKNER	12.6	16.1	A	18	ESMS	A	Well Developed	Elementary School	KLSO
In Good Standing	A	4.5	A	52.44	79.4	Ms. Kristy Parris	44.2	18K208	A	P.S. 208 ELSA EBELING	11.6	19.1	A	18	ESMS	A	Proficient	Elementary School	ESO
Restructuring - Year 3	A	8.25	A	2.89	89.7	Buffie Simmons-Peart	48.7	18K211	A	I.S. 211 JOHN WILSON	11.6	21.1	A	18	ESMS	A	Well Developed	Middle School	ESO
In Good Standing	B	0.75	B	58.57	53.2	Ms. Winsome Smith	28.7	18K219	A	P.S. 219 KENNEDY-KING	7.2	16.5	B	18	ESMS	A	Well Developed	Elementary School	ESO
""						Ingrid Thomas-Clark		18K232		I.S. 232 THE WINTHROP				18	ESMS			Middle School	AED
Restructuring - Year 3																			
In Good Standing	C	0	B	55.95	36.3	Denean Stephens-Spellman	13.5	18K233	B	P.S. 233 LANGSTON HUGHES	8.9	13.9	D	18	ESMS	B	Well Developed	Elementary School	CLSO
In Good Standing	B	3	B	43.30	63.9	Lisa Solitario	28.6	18K235	C	P.S. 235 LENOX	10.2	22.1	B	18	ESMS	A	Proficient	K-8	ESO
In Good Standing	A	0.75	A	53.98	61.5	Ms. Grace Alesia	31	18K244	B	P.S. 244 RICHARD R. GREEN	11.3	18.4	B	18	ESMS	A	Well Developed	Elementary School	ESO
""						Ms. Mendis Brown		18K252		I.S. 252 ARTHUR S. SOMERS				18	ESMS			Middle School	CLSO
Restructuring - Year 1																			
In Good Standing	B	1.5	B	56.70	52.5	Ms. Mosezetta Overby	28.6	18K268	C	P.S. 268 EMMA LAZARUS	8.3	14.1	B	18	ESMS	B	Well Developed	Elementary School	ESO
In Need of Improvement - Year 1	A	6	C	56.95	79.1	Dakota Reyes	56.9	18K272	F	P.S. 272 CURTIS ESTABROOK	5.1	11.1	A	18	ESMS	C	Proficient	Elementary School	KLSO
In Good Standing	A	2.25	B	53.76	66.7	Jonathan Straughn	39.2	18K276	C	P.S. 276 LOUIS MARSHALL	8.4	16.8	A	18	ESMS	A	Well Developed	Elementary School	KLSO
In Good Standing	B	3.75	B	48.85	55.1	Lorenzo Chambers	29.2	18K279	C	P.S. 279 HERMAN SCHREIBER	7.8	14.3	B	18	ESMS	B	Proficient	Elementary School	ESO
In Good Standing	B	3.75	B	3.18	54.5	Mr. Edward Gentile	28.5	18K285	C	I.S. 285 MEYER LEVIN	7.9	14.3	B	18	ESMS	B	Well Developed	Middle School	ICI
""						Diane Varano		18K415		SAMUEL J. TILDEN HIGH SCHOOL				18	HS			High School	ICI
""		4																	
Requiring Academic Progress - Year 6																			
""						Tyona Washington		18K500		CANARSIE HIGH SCHOOL				18	HS			High School	CLSO
Requiring Academic Progress - Year 5		1							F										
""						Ms. Judy Henry		18K515		SOUTH SHORE HIGH SCHOOL				18	HS			High School	CLSO
""		1																	
Requiring Academic Progress - Year 5																			
""				2.36		Marina Vinitskaya		18K563		IT TAKES A VILLAGE ACADEMY				18	HS			High School	ICI
""		4																	
In Good Standing																			
""				2.18		Terri Lynn Grey		18K566		BROOKLYN GENERATION SCHOOL				18	HS			High School	CEI-PEA
""		2																	
In Good Standing																			
""				2.35		Martin Coren		18K567		BROOKLYN THEATRE ARTS HIGH SCHOOL				18	HS			High School	ESO
""		0																	
In Good Standing																			
""				2.37		Matt Brown		18K569		KURT HAHN EXPEDITIONARY LEARNING SCHOOL				18	HS			High School	ESO
""		0																	
In Good Standing																			
